train_loss,train_accuracy,test_loss,test_accuracy
0.6346800247320352,0.670926517571885,0.6802768511108205,0.6329113924050633
0.635651703269337,0.6773162939297125,0.675315053402623,0.6329113924050633
0.5761881729665275,0.7252396166134185,0.6025021340273604,0.6962025316455697
0.5213841875901999,0.7987220447284346,0.5442691615110711,0.7468354430379747
0.4918358219317354,0.8242811501597445,0.5790355601642705,0.7215189873417721
0.48347299253216947,0.8242811501597445,0.5390018956570686,0.7848101265822784
0.4966746531545925,0.8178913738019169,0.6323973159246807,0.6708860759493671
0.5273465926464374,0.7763578274760383,0.5452213434478904,0.7341772151898734
0.46009268623571425,0.8594249201277955,0.5689896039570435,0.7468354430379747
0.4876439921772137,0.8210862619808307,0.5840881066986278,0.7215189873417721
