train_loss,train_accuracy,test_loss,test_accuracy
0.056817321445995245,0.6325878594249201,0.049290381277663796,0.6582278481012658
0.04300883060065321,0.670926517571885,0.04043320538122443,0.6582278481012658
0.040357908597007726,0.670926517571885,0.040853842149806925,0.6582278481012658
0.04012165082910191,0.670926517571885,0.040905082527595234,0.6582278481012658
0.037887713208366126,0.6741214057507987,0.04587654561936101,0.6835443037974683
0.03592203000483041,0.7124600638977636,0.04053077328054211,0.6455696202531646
0.03461524853691125,0.7603833865814696,0.03971432319170312,0.7088607594936709
0.03237772644899143,0.7476038338658147,0.041556648815734475,0.7341772151898734
0.03200767063104307,0.7539936102236422,0.03766160637517519,0.7215189873417721
0.032122278365845115,0.7220447284345048,0.03719023435930662,0.7088607594936709
