train_loss,train_accuracy,test_loss,test_accuracy
0.04333897882376235,0.6038338658146964,0.03955668814574616,0.7088607594936709
0.038789410751086835,0.6613418530351438,0.036375331727764276,0.7088607594936709
0.036644533895455994,0.65814696485623,0.03488205316700513,0.7088607594936709
0.03411237033792197,0.6964856230031949,0.03272483922258208,0.7721518987341772
0.03150291878956195,0.7699680511182109,0.030956306035005595,0.8227848101265823
0.02857306951912828,0.8083067092651757,0.0304909231542032,0.7721518987341772
0.026168093561364437,0.8306709265175719,0.026997254996360104,0.810126582278481
0.023953633853040945,0.8498402555910544,0.02596025565002538,0.7468354430379747
0.020358657732177467,0.8913738019169329,0.02719497642939604,0.810126582278481
0.019767594984925974,0.8817891373801917,0.02066072218025787,0.8987341772151899
