train_loss,train_accuracy,test_loss,test_accuracy
0.6474371399634924,0.6410256410256411,0.5856655597686767,0.7
0.6409462354122064,0.6602564102564102,0.5940116286277771,0.7
0.54734112513371,0.7564102564102564,0.5293904900550842,0.825
0.5213440442696596,0.8012820512820513,0.48955374360084536,0.8
0.49368604941245836,0.8205128205128205,0.5414650082588196,0.8
0.5780136080888602,0.7307692307692307,0.5858015775680542,0.7
0.5551097194353739,0.7307692307692307,0.46222922801971433,0.85
0.49736622052314955,0.7948717948717948,0.4690751314163208,0.825
0.4868570359853598,0.8333333333333334,0.4852296531200409,0.85
0.47516495218643773,0.8461538461538461,0.4497113823890686,0.875
