train_loss,train_accuracy,test_loss,test_accuracy
0.051752710953736916,0.6217948717948718,0.049686270952224734,0.725
0.04032909105985592,0.6602564102564102,0.04141909554600716,0.7
0.039372071623802185,0.6858974358974359,0.042577719688415526,0.85
0.03735046107799579,0.6794871794871795,0.04085673093795776,0.8
0.03719196334863321,0.7435897435897436,0.03519610241055489,0.825
0.03615803749133379,0.7692307692307693,0.0343571625649929,0.825
0.03241477390894523,0.7884615384615384,0.035311324149370195,0.825
0.031428225338459015,0.8012820512820513,0.0273398257791996,0.875
0.024357508199337203,0.8589743589743589,0.025312595069408417,0.875
0.0240994492211403,0.8589743589743589,0.0213240921497345,0.875
