train_loss,train_accuracy,test_loss,test_accuracy
0.16926418053798187,0.21153846153846154,0.18271987438201903,0.65
0.14127431771694085,0.6730769230769231,0.14179664552211763,0.65
0.1042673198076395,0.6730769230769231,0.09826900660991669,0.65
0.07383713011558239,0.6730769230769231,0.0732512503862381,0.65
0.057310762313696056,0.6730769230769231,0.05880788862705231,0.65
0.04727174647343464,0.6730769230769231,0.049603734910488126,0.65
0.04054561104529943,0.75,0.04320230931043625,0.7
0.035888783824749484,0.7948717948717948,0.03909593373537064,0.775
0.03154424577951431,0.8461538461538461,0.03443153202533722,0.85
0.027242939250591475,0.8910256410256411,0.03119420036673546,0.875
